Time resolution is 1 ps
Time	c_in	a		b		sum		c_out		pass_fail
0	0	0000		0000		0000		0		x
10000	0	0000		0001		0001		0		1
15000	0	0000		0010		0010		0		1
20000	0	0000		0011		0011		0		1
25000	0	0000		0100		0100		0		1
30000	0	0000		0101		0101		0		1
35000	0	0000		0110		0110		0		1
40000	0	0000		0111		0111		0		1
45000	0	0000		1000		1000		0		1
50000	0	0000		1001		1001		0		1
55000	0	0000		1010		1010		0		1
60000	0	0000		1011		1011		0		1
65000	0	0000		1100		1100		0		1
70000	0	0000		1101		1101		0		1
75000	0	0000		1110		1110		0		1
80000	0	0000		1111		1111		0		1
85000	0	0001		0000		0001		0		1
90000	0	0001		0001		0010		0		1
95000	0	0001		0010		0011		0		1
100000	0	0001		0011		0100		0		1
105000	0	0001		0100		0101		0		1
110000	0	0001		0101		0110		0		1
115000	0	0001		0110		0111		0		1
120000	0	0001		0111		1000		0		1
125000	0	0001		1000		1001		0		1
130000	0	0001		1001		1010		0		1
135000	0	0001		1010		1011		0		1
140000	0	0001		1011		1100		0		1
145000	0	0001		1100		1101		0		1
150000	0	0001		1101		1110		0		1
155000	0	0001		1110		1111		0		1
160000	0	0001		1111		0000		1		1
165000	0	0010		0000		0010		0		1
170000	0	0010		0001		0011		0		1
175000	0	0010		0010		0100		0		1
180000	0	0010		0011		0101		0		1
185000	0	0010		0100		0110		0		1
190000	0	0010		0101		0111		0		1
195000	0	0010		0110		1000		0		1
200000	0	0010		0111		1001		0		1
205000	0	0010		1000		1010		0		1
210000	0	0010		1001		1011		0		1
215000	0	0010		1010		1100		0		1
220000	0	0010		1011		1101		0		1
225000	0	0010		1100		1110		0		1
230000	0	0010		1101		1111		0		1
235000	0	0010		1110		0000		1		1
240000	0	0010		1111		0001		1		1
245000	0	0011		0000		0011		0		1
250000	0	0011		0001		0100		0		1
255000	0	0011		0010		0101		0		1
260000	0	0011		0011		0110		0		1
265000	0	0011		0100		0111		0		1
270000	0	0011		0101		1000		0		1
275000	0	0011		0110		1001		0		1
280000	0	0011		0111		1010		0		1
285000	0	0011		1000		1011		0		1
290000	0	0011		1001		1100		0		1
295000	0	0011		1010		1101		0		1
300000	0	0011		1011		1110		0		1
305000	0	0011		1100		1111		0		1
310000	0	0011		1101		0000		1		1
315000	0	0011		1110		0001		1		1
320000	0	0011		1111		0010		1		1
325000	0	0100		0000		0100		0		1
330000	0	0100		0001		0101		0		1
335000	0	0100		0010		0110		0		1
340000	0	0100		0011		0111		0		1
345000	0	0100		0100		1000		0		1
350000	0	0100		0101		1001		0		1
355000	0	0100		0110		1010		0		1
360000	0	0100		0111		1011		0		1
365000	0	0100		1000		1100		0		1
370000	0	0100		1001		1101		0		1
375000	0	0100		1010		1110		0		1
380000	0	0100		1011		1111		0		1
385000	0	0100		1100		0000		1		1
390000	0	0100		1101		0001		1		1
395000	0	0100		1110		0010		1		1
400000	0	0100		1111		0011		1		1
405000	0	0101		0000		0101		0		1
410000	0	0101		0001		0110		0		1
415000	0	0101		0010		0111		0		1
420000	0	0101		0011		1000		0		1
425000	0	0101		0100		1001		0		1
430000	0	0101		0101		1010		0		1
435000	0	0101		0110		1011		0		1
440000	0	0101		0111		1100		0		1
445000	0	0101		1000		1101		0		1
450000	0	0101		1001		1110		0		1
455000	0	0101		1010		1111		0		1
460000	0	0101		1011		0000		1		1
465000	0	0101		1100		0001		1		1
470000	0	0101		1101		0010		1		1
475000	0	0101		1110		0011		1		1
480000	0	0101		1111		0100		1		1
485000	0	0110		0000		0110		0		1
490000	0	0110		0001		0111		0		1
495000	0	0110		0010		1000		0		1
500000	0	0110		0011		1001		0		1
505000	0	0110		0100		1010		0		1
510000	0	0110		0101		1011		0		1
515000	0	0110		0110		1100		0		1
520000	0	0110		0111		1101		0		1
525000	0	0110		1000		1110		0		1
530000	0	0110		1001		1111		0		1
535000	0	0110		1010		0000		1		1
540000	0	0110		1011		0001		1		1
545000	0	0110		1100		0010		1		1
550000	0	0110		1101		0011		1		1
555000	0	0110		1110		0100		1		1
560000	0	0110		1111		0101		1		1
565000	0	0111		0000		0111		0		1
570000	0	0111		0001		1000		0		1
575000	0	0111		0010		1001		0		1
580000	0	0111		0011		1010		0		1
585000	0	0111		0100		1011		0		1
590000	0	0111		0101		1100		0		1
595000	0	0111		0110		1101		0		1
600000	0	0111		0111		1110		0		1
605000	0	0111		1000		1111		0		1
610000	0	0111		1001		0000		1		1
615000	0	0111		1010		0001		1		1
620000	0	0111		1011		0010		1		1
625000	0	0111		1100		0011		1		1
630000	0	0111		1101		0100		1		1
